from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
65300,65300,2024-05-18_13104-5_0,2024-05-18_13104-5_1,1
65300,65300,2024-05-18_13106-7_0,2024-05-18_13106-7_1,1
55665,55665,2024-05-18_16100-1_0,2024-05-18_16100-1_1,1
55665,55665,2024-05-18_16170-1_0,2024-05-18_16170-1_1,1
55665,55665,2024-05-18_1650-1_0,2024-05-18_1650-1_1,1
49205,49205,2024-05-18_31104-5_0,2024-05-18_31104-5_1,1
49205,49205,2024-05-18_31106-7_0,2024-05-18_31106-7_1,1
55665,55665,2024-05-18_36102-3_0,2024-05-18_36102-3_1,1
55665,55665,2024-05-18_36106-7_0,2024-05-18_36106-7_1,1
55665,55665,2024-05-18_60105_0,2024-05-18_60105_1,1
55665,55665,2024-05-18_6150-1_0,2024-05-18_6150-1_1,1
